id,nombre,nivel,refs,lat,lng,brief,area
lebanon,Lebanon,zona,63,33.752479,35.590804,A mountainous region known for its cedar trees,-
damascus,Damascus,N1,61,33.519299,36.31344999999999,"Ancient city, capital of Syria, important in biblical history.",-
bashan,Bashan,zona,60,32.80007552505443,35.93730130476259,"Region east of the Jordan, known for its fertility.",-
bethlehem,Bethlehem,N1,60,31.70536129174666,35.21026630105202,City of David's birth and Jesus' birth.,Tribe of Judah
mizpah,Mizpah,N1,56,31.83273947023218,35.1801628605877,A city in Benjamin; a place of gathering and judgment,-
shechem,Shechem,N1,53,32.21369123124062,35.2817986718367,"City in Canaan, later allotted to Ephraim",-
nile,Nile,N1,51,30.092632,31.230987,"The major river of Egypt, mentioned in various contexts",-
amalek,Amalek,zona,49,30.65977,34.835554,"A nomadic people, descendants of Esau, enemies of Israel.",Edom
cush,Cush,zona,49,21.959788,31.343557,Ancient region in Africa; associated with Egypt and Babylon,-
sodom,Sodom,N1,49,31.19656033132318,35.39648411813492,Wicked city destroyed by God for its sins,-
gibeon,Gibeon,N1,48,31.84684772753698,35.18491237777512,Hivite city that tricked Joshua into a peace treaty.,-
judea,Judea,zona,48,31.777444,35.234935,"The southern region of Israel, centered around Jerusalem",-
sidon,Sidon,N1,48,33.56316734135746,35.36634649354799,Phoenician city; home of Jezebel,-
gibeah,Gibeah,N1,46,31.82378102460309,35.23100936128631,"A city of Benjamin, associated with Saul and atrocities.",-
gath,Gath,N1,45,31.69352950368834,34.84388288576839,Philistine city; home of Goliath; refuge for David,Philistia
sinai,Sinai,MVP,43,28.539722,33.973333,Mountain where Moses received the Ten Commandments,-
negeb,Negeb,zona,42,30.3,34.2,"The southern region of Israel, a semi-arid area",-
gilgal,Gilgal,N2,40,31.86378328132916,35.51854651224448,A significant site during Israel's early history in Canaan.,-
ai,Ai,N2,39,31.91697811712517,35.26122639380886,A Canaanite city conquered by Joshua after initial defeat.,-
jezreel,Jezreel,N2,39,32.5559631396043,35.33078927843792,"A city in Issachar, associated with Ahab and Jezebel",-
heshbon,Heshbon,N2,38,31.80052000870321,35.80901866717255,"Amorite city conquered by Moses, allotted to Reuben",-
shiloh,Shiloh,N2,38,32.05570050712985,35.28952869712683,Israelite sanctuary and assembly point during the judges' period,-
persia,Persia,zona,37,34.798311,48.514966,An empire that ruled over the exiled Jews,-
ramoth,Ramoth,N2,37,32.56526757366849,36.00555930879645,City of refuge east of the Jordan,-
beersheba,Beersheba,N2,36,31.24495217357714,34.8408885849849,"Important city in southern Israel, associated with the patriarchs.",-
holy_place,Holy Place,N2,36,31.777444,35.234935,The inner sanctuary of the Tabernacle and Temple,-
hamath,Hamath,zona,35,35.136204,36.749488,"A major city and kingdom in Syria, often mentioned in the Bible.",-
nazareth,Nazareth,NT,31,32.70674542474383,35.30152807767973,The hometown of Jesus in Galilee,-
macedonia,Macedonia,zona,30,40.632155565205,22.9320868699276,A region in northern Greece; Paul preached there,-
hermon_mount,Hermon Mount,N2,28,33.41615982399708,35.85725617635589,Mountain on the northern border of Israel,-
kiriath_jearim,Kiriath-jearim,N2,28,31.771104,34.993812,A city where the ark resided,-
rome,Rome,NT,28,41.9,12.48333333333333,Capital city of the Roman Empire,-
kadesh,Kadesh,zona,27,30.68771281376111,34.49479554246946,An important oasis in the Wilderness of Zin,-
red_sea,Red Sea,N2,26,27.088473,34.771729,Sea crossed by Israelites in the Exodus,-
topheth,Topheth,N2,26,31.769079,35.227994,"Site of pagan child sacrifice, south of Jerusalem",-
arnon,Arnon,zona,25,31.4288,35.677009,"A river and valley, serving as a boundary for Israel.",-
carmel,Carmel,N2,25,31.43333151674604,35.13333188530802,Town in Judah; home of Nabal and Abigail,-
ekron,Ekron,N2,24,31.77761410537458,34.85214575880509,One of the five major Philistine city-states,Philistia
gaza,Gaza,N2,24,31.52481769532773,34.4333647185274,Philistine city; Samson's exploits; Philip's ministry,-
gomorrah,Gomorrah,N2,24,31.15724866533878,35.4739543300078,Wicked city destroyed by God along with Sodom.,-
lachish,Lachish,N2,24,31.56485056116292,34.8467256730566,A fortified city in Judah,-
seir,Seir,zona,24,30.734691,35.60625,"Region inhabited by Edomites, descendants of Esau",Edom
tarshish,Tarshish,N2,24,36.95299512880268,-6.379340234132555,Distant maritime city known for its wealth and trade,Tribe of Benjamin
ashdod,Ashdod,N2,23,31.80299971086164,34.6351145939134,"A major Philistine city, known for Dagon worship.",Philistia
ephesus,Ephesus,NT,23,37.95331433666365,27.36782511573013,Major city in Asia Minor; important center for early Christianity,-
media,Media,zona,23,34.798311,48.514966,An ancient kingdom; part of the Persian Empire,-
arabah,Arabah,zona,22,32.029676,35.520995,A desert region in the Jordan Valley and southward.,-
asia,Asia,N2,22,39.23,32.73,A Roman province in western Asia Minor.,-
nineveh,Nineveh,N2,22,36.35941,43.152887,"The capital of Assyria, known for its wickedness and repentance",-
susa,Susa,zona,22,32.18919123705116,48.25788647687722,Capital city of the Persian Empire,-
arabia,Arabia,zona,21,27.4,37.7,"A region and its inhabitants, mentioned in various contexts.",-
jabesh,Jabesh,N2,21,32.37982175236296,35.61158746493092,"A town in Gilead, loyal to Saul",-
beth_shemesh,Beth-shemesh,N2,20,31.75274835811488,34.97660913147738,"City in Judah, associated with the Ark's return.",-
shephelah,Shephelah,zona,20,31.77761410537458,34.85214575880509,Lowland region between Judean hills and coastal plain,-
paddan,Paddan,zona,19,36.86386407659651,39.03219672227345,The homeland of the patriarchs in Mesopotamia,-
anathoth,Anathoth,N2,18,31.81291276898118,35.26349894226843,"A Levitical city in Benjamin, home of the prophet Jeremiah.",-
keilah,Keilah,N2,18,31.614175,35.002752,"A town in the Shephelah of Judah, rescued by David",-
ramah,Ramah,N2,18,31.89637863532434,35.20173068977705,"A town in Benjamin, near Gibeah and Jerusalem",-
elam,Elam,zona,17,32.18919123705116,48.25788647687722,Ancient kingdom east of Babylon; ally and enemy of Israel,Persia
gezer,Gezer,N2,17,31.87611111111111,34.9225,"A Canaanite city, conquered by Joshua and later by David.",-
capernaum,Capernaum,NT,16,32.88059412581622,35.57515767479308,Town in Galilee; center of Jesus' ministry,-
debir,Debir,N2,16,31.41666959977098,34.96667012280085,Canaanite city captured by Joshua and Caleb's family.,-
geba,Geba,N2,16,31.85787804122625,35.25975521608824,A Levitical city in Benjamin,-
libnah,Libnah,N2,16,31.56485056116292,34.8467256730566,A Canaanite city conquered by Joshua; a Levitical city,-
sheba,Sheba,zona,16,9.022736,38.746799,"Kingdom known for wealth, trade, and the Queen of Sheba",-
antioch,Antioch,NT,15,36.20233087051257,36.16238775165068,A major city where the gospel spread to Gentiles.,-
caesarea,Caesarea,NT,15,32.499544608298,34.89218497556097,"Coastal city, center of Roman rule in Judea",-
cyprus,Cyprus,zona,15,35.018306,33.207693,Island in the Mediterranean Sea; early Christian community,Cyprus
geshur,Geshur,zona,15,33.0,36.41667,Aramean kingdom; Talmai's domain; refuge for Absalom,-
olives_mount,Olives Mount,N2,15,31.77809503341373,35.2471976093501,A mountain ridge east of Jerusalem,-
ziklag,Ziklag,N2,15,31.37760000000001,34.87356199999998,"A city given to David; originally Judah's, then Simeon's",Philistia
joppa,Joppa,N3,14,32.05351968494696,34.75042606009946,"An ancient seaport, the main port for Jerusalem",-
kidron,Kidron,zona,14,31.772134,35.236596,"A valley east of Jerusalem, site of significant events",-
magadan,Magadan,N3,14,32.84733494629723,35.5229361797708,A place on the Sea of Galilee; home of Mary Magdalene,-
salt_sea,Salt Sea,N3,14,31.538593,35.482268,Another name for the Dead Sea,-
succoth,Succoth,N3,14,32.19998298531073,35.63331303389634,"City in Canaan, location of Solomon's bronze works",-
tekoa,Tekoa,N3,14,31.63622127191993,35.21407721824517,"Town in Judah, home of the prophet Amos",-
tirzah,Tirzah,N3,14,32.27136869937776,35.29430386845415,Canaanite city that became the capital of Israel,-
ashkelon,Ashkelon,N3,13,31.66240510553615,34.54722773494757,"A major Philistine city, often a target of prophecy.",Philistia
bethany,Bethany,NT,13,31.77166591433378,35.26212203964414,"Village near Jerusalem, home of Mary, Martha, and Lazarus.",-
great_sea,Great Sea,zona,13,33.24,33.47,"The Mediterranean Sea, the western boundary of the Promised Land.",-
hazor,Hazor,N3,13,33.01718199667929,35.56804856758258,Major Canaanite city conquered by Joshua,-
mahanaim,Mahanaim,N3,13,32.214708,35.632914,A place east of the Jordan; David's refuge,-
megiddo,Megiddo,zona,13,32.58418313614938,35.18229165870594,A strategic city in the Jezreel Valley,-
netophah,Netophah,N3,13,31.735465,35.220503,"A town in Judah, home to several notable individuals",-
zoar,Zoar,N3,13,30.9265225301655,35.4190606947832,"A city near Sodom, spared from destruction",-
zobah,Zobah,zona,13,34.312571,36.925484,"An Aramean kingdom, enemy of Israel during David's reign",-
beeroth,Beeroth,N3,12,31.90007449127097,35.21668800602465,"Hivite city, later allotted to Benjamin.",-
beth_horon_lower,Beth-horon Lower,N3,12,31.87892595986906,35.12356744466153,"Town in Ephraim and Dan, site of a famous battle.",-
corinth,Corinth,NT,12,37.9059573586561,22.87788175588845,Ancient Greek city; recipient of Paul's epistles,-
dibon,Dibon,N3,12,31.49684513710609,35.78284105296996,"Moabite city, allotted to Gad, later possessed by Moab.",-
goshen,Goshen,zona,12,30.72850163814402,31.80469223616506,A region in Egypt where the Israelites settled and prospered.,-
haran,Haran,N3,12,36.86386407659651,39.03219672227345,"A city in Mesopotamia, associated with Abraham and his family.",-
jazer,Jazer,N3,12,31.94352951689796,35.72776961157128,"A town in Gilead, allotted to Gad",-
libya,Libya,N3,12,32.824979,21.858301,A country in North Africa,-
maacah,Maacah,zona,12,33.2,36.5,A region near Geshur,-
timnah,Timnah,N3,12,31.784368,34.90968,Canaanite city associated with Judah and Dan,Philistia
achaia,Achaia,N3,11,37.98333333333333,23.73333333333333,"A Roman province in southern Greece, including Corinth.",-
adullam,Adullam,N3,11,31.65,35.0,"A Canaanite city, later fortified by Judah.",-
brook_of_egypt,Brook of Egypt,zona,11,31.032047,33.854957,Southwestern boundary of the Promised Land,-
caphtor,Caphtor,zona,11,35.171239,25.007204,Island home of the Philistines; visited by Paul,-
chinnereth,Chinnereth,N3,11,32.80677585520321,35.58936052679091,Freshwater lake in northern Israel; location of Jesus' ministry,-
greece,Greece,zona,11,37.95331433666365,27.36782511573013,"A nation and culture, often in opposition to Israel",Greece
michmash,Michmash,N3,11,31.87018434231688,35.27923581936973,A town in Benjamin; site of Saul's camp and Jonathan's victory,-
millo,Millo,N3,11,31.777444,35.234935,A fortification in Jerusalem built by Solomon,-
most_holy_place,Most Holy Place,N3,11,31.777444,35.234935,The innermost room of the tabernacle and temple,-
on,On,N3,11,30.108086,31.33822,"An ancient Egyptian city, mentioned in relation to Joseph",-
ophir,Ophir,zona,11,22.0,77.0,A region known for its gold,Tribe of Judah
riblah,Riblah,N3,11,34.431703,36.545259,Babylonian headquarters during the conquest of Judah,-
seir_mount,Seir Mount,zona,11,30.734691,35.60625,"Mountainous region in Seir, associated with Edom",-
thessalonica,Thessalonica,NT,11,40.632155565205,22.9320868699276,"Macedonian city, site of an early Christian church",-
ziph,Ziph,N3,11,31.4833,35.1333,A town in Judah where David hid from Saul,-
abel_beth_maacah,Abel-beth-maacah,N3,10,33.268526,35.578046,"A city in northern Israel, also called Abel-maim.",-
aijalon,Aijalon,N3,10,31.84117376619545,35.02537926743067,"A Levitical city in Dan, site of Joshua's miracle.",-
gerar,Gerar,N3,10,31.39129109635703,34.56057015639144,Philistine city; Abraham and Isaac's encounters with Abimelech,Philistia
gog,Gog,zona,10,46.0,47.0,A symbolic enemy of God's people in prophetic literature.,-
hor_mount,Hor Mount,N3,10,30.317396,35.407152,Mountain where Aaron died and was buried,-
kedesh,Kedesh,N3,10,33.11298357486105,35.53361334150225,"A Canaanite city, later a Levitical city of refuge in Naphtali",-
mamre,Mamre,N3,10,31.54909871686872,35.09356062020027,A place near Hebron; associated with Abraham,-
zephath,Zephath,N3,10,30.880918,34.63062,A Canaanite city captured by Judah and Simeon,-
zin,Zin,zona,10,30.68771281376111,34.49479554246946,A desert and wilderness region south of Judah,-
zorah,Zorah,N3,10,31.762141,34.969319,"A town in the Shephelah, home of Samson",-
aroer,Aroer,zona,9,31.47109529828131,35.82200331579328,A city on the edge of the Arnon Valley.,-
beth_shean,Beth-shean,N3,9,32.5042384550589,35.50307739108582,"City in Manasseh, where Saul's body was displayed.",-
jahaz,Jahaz,N3,9,31.50100308502659,35.92063125199366,"A town in Moab, site of Israelite victories",-
laodicea,Laodicea,NT,9,37.76986723761415,29.06450110237073,A city in Asia Minor,-
makkedah,Makkedah,N3,9,31.935117,34.781326,A Canaanite city conquered by Joshua,-
paran,Paran,zona,9,29.151667,33.541944,A desert region in the Sinai Peninsula,-
philippi,Philippi,NT,9,41.0119594798466,24.28619097780519,A city in Macedonia visited by Paul,-
ashtaroth,Ashtaroth,N3,8,32.8333333333,36.0166666667,"A city of Og, king of Bashan.",-
athens,Athens,NT,8,37.98333333333333,23.73333333333333,"A major city in Greece, visited by Paul.",-
chebar,Chebar,N3,8,33.159129,44.06293,River in Babylonia; location of Ezekiel's visions,-
cilicia,Cilicia,zona,8,36.91802695356275,34.89153398422567,Province in Asia Minor; Paul's birthplace and ministry area,-
ebal_mount,Ebal Mount,N3,8,32.23293813761263,35.27304180036391,"A mountain in Canaan, site of curses and blessings ceremony.",-
edrei,Edrei,N3,8,32.62413707696097,36.09899663593119,Amorite city defeated by Moses and the Israelites,-
eglon,Eglon,N3,8,31.5,34.7667,Amorite king of Lachish; city in Judah,-
elath,Elath,N3,8,29.528502,35.005732,Edomite port on the Red Sea; fortified by Judah,-
engedi,Engedi,N3,8,31.46152536164766,35.39241108242345,Oasis in Judah; refuge for David; Chedorlaomer's victory,-
eshtaol,Eshtaol,N3,8,31.782429,35.009012,City allotted to Judah and Dan; associated with Samson,-
galatia,Galatia,zona,8,37.57813498250009,32.45318282875567,"A region in Asia Minor, recipient of Paul's epistle.",-
jezreel,Jezreel,N3,8,31.53577362133176,35.09409986578734,"A town in Judah, home of David's wife Ahinoam",-
kiriathaim,Kiriathaim,N3,8,31.58333333329998,35.70000000000012,"A Moabite city, later allotted to Reuben",-
memphis,Memphis,N3,8,29.849632,31.253958,An important city in ancient Egypt,-
meribah,Meribah,N3,8,30.68771281376111,34.49479554246946,A place where Moses disobeyed God,-
pisgah,Pisgah,N3,8,31.76503129703305,35.71856575741812,"A mountain range in Moab, east of the Jordan",-
rephaim_valley,Rephaim Valley,zona,8,31.756332,35.223059,"Valley near Jerusalem, site of battles",-
shinar,Shinar,zona,8,32.53650368616845,44.42088287373876,"Ancient region in Mesopotamia, associated with Babylon",Mesopotamia
taanach,Taanach,N3,8,32.51723975501718,35.21632508826309,"Canaanite city allotted to Manasseh, later a Levitical city",-
tabor_mount,Tabor Mount,N3,8,32.68695640243183,35.39091304299688,"Mountain in Israel, site of Deborah and Barak's victory",-
tob,Tob,zona,8,32.561735,36.240494,Region where Jephthah fled and recruited mercenaries,-
aroer,Aroer,N3,7,31.9617,35.9115,"A city in Gad, built by the Gadites.",-
azekah,Azekah,N3,7,31.70063856043753,34.93618589974822,"Judean town, site of battles and sieges.",-
bahurim,Bahurim,N3,7,31.824736,35.388486,"Village near Jerusalem, home of Shimei, who cursed David.",-
beth_aven,Beth-aven,zona,7,31.89571707979081,35.25309824700233,Town and wilderness near Ai and Bethel.,-
bethsaida,Bethsaida,NT,7,32.90784828392077,35.62697295608815,"Town where Jesus performed miracles, home of several disciples",-
bozrah,Bozrah,N3,7,30.734691,35.60625,Capital city of Edom,Edom
cyrene,Cyrene,NT,7,32.824979,21.858301,City in North Africa; home of early Christians,-
dedan,Dedan,zona,7,26.625139,37.919663,"An Arabian people and region, involved in trade.",-
dor,Dor,N3,7,32.61323618394521,34.91889683434057,"A Canaanite city, later allotted to Manasseh but not conquered.",-
ezion_geber,Ezion-geber,N3,7,29.75804307645581,35.0306017443078,Israelite encampment; port city on Red Sea,-
golgotha,Golgotha,N3,7,31.777444,35.234935,"The place where Jesus was crucified, meaning ""Place of a Skull.""",-
house_of_the_forest,House of the Forest,N3,7,31.777444,35.234935,A building in Solomon's palace complex,-
jabbok,Jabbok,N3,7,32.193237,35.676305,"A river east of the Jordan, associated with Jacob",-
kir,Kir,N3,7,31.18132579594509,35.70214779044711,"A Moabite city, later destroyed by the Babylonians",Moab
lod,Lod,NT,7,31.95138888888889,34.89527777777778,A city in Benjamin; home of Aeneas healed by Peter,-
mesopotamia,Mesopotamia,MVP,7,32.53650368616845,44.42088287373876,The region between the Tigris and Euphrates rivers,-
nebo,Nebo,N3,7,31.748024,35.743257,A city and mountain in Moab,-
nebo_mount,Nebo Mount,zona,7,31.76135780447535,35.74614824478083,The mountain where Moses viewed the Promised Land,-
peniel,Peniel,N3,7,32.1843727808126,35.70287002746794,A place where Jacob wrestled with God,-
sepharvaim,Sepharvaim,zona,7,33.789693,44.459399,City of origin for people resettled in Samaria,-
sharon,Sharon,zona,7,32.639068,34.945929,Coastal plain known for its beauty and fertility,-
tahpanhes,Tahpanhes,N3,7,30.860556,32.171389,Egyptian city where Jewish refugees fled after Jerusalem's destruction,-
tishbe,Tishbe,N3,7,33.01718199667929,35.56804856758258,Hometown of the prophet Elijah,-
zoan,Zoan,N3,7,30.97461982407924,31.88417306768534,"An ancient Egyptian city, probably Tanis",-
ar,Ar,N3,6,31.44980942220132,35.59395836278803,The capital city of Moab.,-
arpad,Arpad,N3,6,35.136204,36.749488,City conquered by Assyria,-
baal_meon,Baal-meon,N3,6,31.679454,35.734892,"Moabite town, allotted to Reuben, later retaken by Moab.",-
beth_arabah,Beth-arabah,zona,6,31.84332,35.50649,"Town and wilderness area in Judah, also associated with Benjamin.",-
east,East,zona,6,31.95018855468469,35.92413135872749,A direction associated with invading armies and nomadic tribes.,-
elim,Elim,zona,6,29.306194,32.980924,Desert oasis on Israel's journey from Egypt to Sinai,-
eshtemoa,Eshtemoa,N3,6,31.373521,35.074552,Levitical city in Judah; received spoils from David's victory,-
gibbethon,Gibbethon,zona,6,31.976623,35.004896,A Levitical city in the territory of Dan.,Philistia
gihon,Gihon,N3,6,31.773116,35.237186,A river of Eden; a spring near Jerusalem.,-
gilboa_mount,Gilboa Mount,N3,6,32.50984080716704,35.40843470396692,A mountain range where Saul and his sons died.,-
hazeroth,Hazeroth,zona,6,28.916667,34.5,Israelite encampment during the wilderness wanderings,-
ibleam,Ibleam,N3,6,32.45,35.2833,A Levitical city in Issachar,-
iconium,Iconium,NT,6,37.88353038890398,32.4942625657248,A city in Asia Minor visited by Paul,-
italy,Italy,zona,6,41.9,12.48333333333333,"A region in southern Europe, home to the Roman Empire",-
jarmuth,Jarmuth,N3,6,31.70926894307416,34.96995387025439,"A Canaanite city, later allotted to Judah",-
kishon,Kishon,N3,6,32.761948,35.064096,A river in northern Israel,-
lystra,Lystra,NT,6,37.57813498250009,32.45318282875567,A city in Lycaonia; Paul and Barnabas preached there,-
machpelah,Machpelah,N3,6,31.52464794555393,35.11073465087356,A cave near Hebron; burial place of patriarchs,-
maon,Maon,N3,6,31.41666666666668,35.1166666666667,A city in Judah; home of Nabal and Abigail,-
mareshah,Mareshah,N3,6,31.60393321295081,34.90237777777779,A town in Judah; fortified by Rehoboam,-
migdol,Migdol,N3,6,30.020296,32.372233,A place near the Red Sea where the Israelites camped,-
naioth,Naioth,N3,6,31.83273947023218,35.1801628605877,A place near Ramah where David fled from Saul,-
nob,Nob,N3,6,31.799605,35.23298,A city of priests near Jerusalem,-
ono,Ono,N3,6,32.02222222222223,34.86666666666667,"A town in Benjamin, near Lod",-
ophrah,Ophrah,N3,6,32.60868269540592,35.28826433084549,Gideon's hometown in Manasseh; a town in Issachar,-
pirathon,Pirathon,N3,6,32.286022,35.022944,"A town in Ephraim, home of several notable Israelites",-
sela,Sela,N3,6,30.32243571223214,35.45627946919968,Edomite stronghold captured by King Amaziah of Judah,-
shelah,Shelah,N3,6,31.777444,35.234935,Pool and tunnel in Jerusalem,-
shur,Shur,zona,6,30.2354,33.247,Wilderness area between Canaan and Egypt,-
socoh,Socoh,N3,6,31.68123465358001,34.97639817516712,Town in Judah; site of David's battle with Goliath,-
teman,Teman,zona,6,30.203813,35.732568,"Region and town in Edom, known for wisdom",Edom
troas,Troas,NT,6,39.50664305923271,26.08059270470616,"A city in Asia Minor, visited by Paul",-
achor_valley,Achor Valley,zona,5,31.83689,35.399737,"A valley near Jericho, where Achan was stoned.",-
admah,Admah,N3,5,31.11942270162137,35.41253049195169,One of the cities destroyed with Sodom and Gomorrah.,-
ain,Ain,N3,5,31.370835,34.860665,"A city in Judah, allotted to the Levites.",-
akeldama,Akeldama,N3,5,31.777444,35.234935,Field purchased with Judas' betrayal money; burial place for strangers,-
baalath_beer,Baalath-beer,N3,5,31.244952,34.840888,"Town in the Negev, allotted to Simeon.",-
bezer,Bezer,N3,5,32.51613740944529,36.48829075785014,Levitical city of refuge in Reuben,-
carmel_mount,Carmel Mount,N3,5,32.729350157734,35.04978957235391,Mountain range; site of Elijah's confrontation with prophets of Baal,-
corner_gate,Corner Gate,N3,5,31.777444,35.234935,Fortified gate in Jerusalem's wall,-
elealeh,Elealeh,N3,5,31.813796,35.824275,Moabite city assigned to Reuben; later prophecies of destruction,-
en_rogel,En-rogel,N3,5,31.767775,35.234408,Spring near Jerusalem; associated with Adonijah's and David's kingships,-
gedor,Gedor,N3,5,31.63333,35.083333,Town in Judah; home of Judahite clan members,-
gozan,Gozan,zona,5,36.840013,40.06889,A region in Mesopotamia where Israelite captives were deported.,-
horonaim,Horonaim,N3,5,31.288056,35.515,A Moabite city mentioned in prophecies of judgment,-
ivvah,Ivvah,zona,5,34.467725,41.964955,"City conquered by Assyria, people resettled in Samaria.",-
kanah,Kanah,zona,5,32.74701517958585,35.33877162058164,Town in Asher's territory; village where Jesus performed miracles,-
kenath,Kenath,N3,5,32.756919,36.6164,"A city in Gilead, captured by Nobah and renamed",-
kibroth_hattaavah,Kibroth-hattaavah,zona,5,28.916667,34.5,A place where the Israelites complained and were punished,-
lehi,Lehi,N3,5,31.75274835811488,34.97660913147738,A place where Samson fought the Philistines,-
lo_debar,Lo-debar,N3,5,32.662488,35.783568,A town in Gilead; home of Mephibosheth,-
marah,Marah,N3,5,29.35,32.933333,A place with bitter water on the Exodus route,-
massah,Massah,N3,5,28.73106102564323,33.84169995726504,A place where the Israelites tested God,-
medeba,Medeba,N3,5,31.72045763248588,35.79197231962891,A Moabite city captured by the Israelites,-
meshech,Meshech,zona,5,46.0,47.0,"A nation, descendant of Japheth; associated with Tubal",Asia
ophel,Ophel,zona,5,31.777444,35.234935,A fortified area in Jerusalem,-
pamphylia,Pamphylia,N3,5,37.00520811721595,30.90494591606115,A Roman province in Asia Minor,-
pathros,Pathros,zona,5,28.322364,30.692312,A region in Upper Egypt,-
peor,Peor,N3,5,31.76503129703305,35.71856575741812,A mountain in Moab associated with idolatry,-
rephidim,Rephidim,N3,5,28.73106102564323,33.84169995726504,Israelite encampment during the Exodus,-
salt_valley,Salt Valley,zona,5,31.087328,35.38374,Valley where David and his commanders defeated enemies,-
shaalbim,Shaalbim,N3,5,31.870364,34.981728,"Town in Dan, home of David's mighty men",-
shittim,Shittim,N3,5,31.85826217905818,35.64156652792805,The last Israelite campsite before crossing the Jordan.,-
sibmah,Sibmah,N3,5,31.815283,35.766738,Moabite town known for its vineyards,-
tappuah,Tappuah,N3,5,32.11666666666667,35.23333333333333,Canaanite city allotted to Ephraim and Manasseh,-
tarsus,Tarsus,NT,5,36.91802695356275,34.89153398422567,"City in Cilicia, birthplace of the apostle Paul",-
thebes,Thebes,N3,5,25.700025,32.639441,"Ancient Egyptian city, known for its wealth and power",-
tubal,Tubal,zona,5,40.905222,37.799969,"A nation, descendant of Japheth, known for trading",-
water_gate,Water Gate,N3,5,31.777444,35.234935,"A gate in Jerusalem's wall, rebuilt by Nehemiah",-
zarethan,Zarethan,N3,5,32.267821,35.576613,A place near the Jordan River associated with Israel's crossing,-
zeboiim,Zeboiim,zona,5,31.11942270162137,35.41253049195169,One of the cities of the plain destroyed with Sodom,-
achzib,Achzib,descartado,4,31.7,35.0,"A town in Judah, birthplace of Shelah.",-
alexandria,Alexandria,descartado,4,31.2278414761719,29.9569242709775,A major city in Egypt,-
antioch,Antioch,NT,4,38.31643056393041,31.17948683048973,A city in Pisidia where Paul preached the gospel.,-
aphek,Aphek,descartado,4,32.1047126614992,34.93197921211777,"A city in the Shephelah, site of Philistine battles.",-
arad,Arad,descartado,4,31.28098170907087,35.12636584365214,"Arad, Canaanite city, attacked Israel, later inhabited by Kenites",Tribe of Benjamin
ararat,Ararat,descartado,4,39.70289295384448,44.29818047261773,A mountain range where Noah's ark rested after the flood.,-
argob,Argob,descartado,4,33.144,36.136,"A region in Bashan, known for its fortified cities.",-
ashan,Ashan,descartado,4,31.8099,34.9365,A city allotted to Judah and Simeon.,-
baal_perazim,Baal-perazim,descartado,4,31.756332,35.223059,Place where David defeated the Philistines.,-
bene_jaakan,Bene-jaakan,descartado,4,30.317396,35.407152,Israelite encampment during the wilderness wanderings.,-
beth_barah,Beth-barah,descartado,4,31.8363211491438,35.55260017422344,Place where Gideon stationed men to intercept the Midianites.,-
beth_jeshimoth,Beth-jeshimoth,descartado,4,31.77691134657884,35.59865748950166,"Town in Moab, allotted to Reuben, mentioned in prophecy.",-
